id,Date,Err
0,13/05/2017,-7689.974656508897
1,14/05/2017,-6445.862395418866
2,15/05/2017,-5169.717161097786
3,16/05/2017,-5764.767176500276
4,17/05/2017,-5449.095833110678
5,18/05/2017,-5634.6173720101
6,19/05/2017,-5818.296121459198
7,20/05/2017,-5648.786504381211
8,21/05/2017,-5115.5599419812115
9,22/05/2017,-5148.713679007766
10,23/05/2017,-5833.098776109717
11,24/05/2017,-7420.805475907766
12,25/05/2017,-8729.530496459198
13,26/05/2017,-9605.235960255442
14,27/05/2017,-9914.535789600852
15,28/05/2017,-10767.583981899897
16,29/05/2017,-11516.570952521477
17,30/05/2017,-12470.683572491078
18,31/05/2017,-12937.308189423482
19,01/06/2017,-12289.380454102538
20,02/06/2017,-11575.7188905351
21,03/06/2017,-10502.419516602538
22,04/06/2017,-10040.490014070368
23,05/06/2017,-8872.89107971211
24,06/06/2017,-6274.8936590675
25,07/06/2017,-5815.129333837689
26,08/06/2017,-6479.118488221724
27,09/06/2017,-6987.858986358689
28,10/06/2017,-9338.504025361508
29,11/06/2017,-11669.002736464154
30,12/06/2017,-12527.196656350232
31,13/06/2017,-12055.105980964032
32,14/06/2017,-10682.756578313321
33,15/06/2017,-8506.866498160973
34,16/06/2017,-6061.286105593383
35,17/06/2017,-4105.314823276287
36,18/06/2017,-2960.569173187141
37,19/06/2017,-688.155019599486
38,20/06/2017,972.7784348266796
39,21/06/2017,2577.5312351061657
40,22/06/2017,3472.0671643515307
41,23/06/2017,1329.1777789844637
42,24/06/2017,-2143.7015613239782
43,25/06/2017,-6028.947221015536
44,26/06/2017,-9163.317892602463
45,27/06/2017,-12648.822472557425
46,28/06/2017,-12103.365909735316
47,29/06/2017,-12251.66996673535
48,30/06/2017,-11528.281996055506
49,01/07/2017,-11535.637878258509
50,02/07/2017,-9858.713947446042
51,03/07/2017,
52,04/07/2017,-7755.375838836451
53,05/07/2017,-8938.384423805073
54,06/07/2017,-6721.8245778362325
55,07/07/2017,-2445.6581423372845
56,08/07/2017,-1103.522707684424
57,09/07/2017,-523.967628017599
58,10/07/2017,-89.89764159041806
59,11/07/2017,5520.4680722052435
