DATE,SIM,OBS
01/01/2008,2242.99065,7722.3
02/01/2008,2242.99065,7659.4
03/01/2008,2242.99065,7628.1
04/01/2008,2242.99065,7565.8
05/01/2008,2243.53178,7503.9
06/01/2008,2246.51039,7442.4
07/01/2008,2249.489,7411.7
08/01/2008,2252.46761,7350.7
09/01/2008,2255.44622,7290.1
10/01/2008,2258.42483,7260
11/01/2008,2261.40344,7229.9
12/01/2008,2264.38205,7199.9
13/01/2008,2267.36066,7140.3
14/01/2008,2270.33927,7080.9
15/01/2008,2273.41788,7022
16/01/2008,2276.59649,6963.4
17/01/2008,2280.0751,6934.3
18/01/2008,2283.75371,6905.2
19/01/2008,2287.23232,6876.2
20/01/2008,2290.61093,6847.4
21/01/2008,2293.58954,6818.6
22/01/2008,2296.56815,6789.9
23/01/2008,2300.54676,6761.3
24/01/2008,2322.82538,6761.3
25/01/2008,2451.00399,6732.8
26/01/2008,2719.9826,6732.8
27/01/2008,3090.16121,6732.8
28/01/2008,3484.53982,6761.3
29/01/2008,3733.21843,6876.2
30/01/2008,3688.99704,7022
31/01/2008,3632.07565,7080.9
01/02/2008,3720.95426,7051.4
02/02/2008,3921.13287,6963.4
03/02/2008,4104.91148,6905.2
04/02/2008,4178.39009,6905.2
05/02/2008,4139.4687,6905.2
06/02/2008,4020.31438,6934.3
07/02/2008,3863.40923,6963.4
08/02/2008,3693.70407,6934.3
09/02/2008,3532.29892,6847.4
10/02/2008,3390.39377,6789.9
11/02/2008,3270.58862,6732.8
12/02/2008,3176.08346,6647.7
13/02/2008,3117.27831,6591.5
14/02/2008,3101.27316,6507.8
15/02/2008,3114.268,6480.1
16/02/2008,3127.06285,6452.4
17/02/2008,3116.3577,6424.9
18/02/2008,3075.15255,6452.4
19/02/2008,3010.24739,6591.5
20/02/2008,2933.84224,6647.7
21/02/2008,2857.43709,6704.3
22/02/2008,2788.83194,6676
23/02/2008,2732.32678,6619.6
24/02/2008,2689.32163,6535.6
25/02/2008,2659.11648,6452.4
26/02/2008,2651.83208,6424.9
27/02/2008,2653.68006,6397.4
28/02/2008,2661.92803,6397.4
29/02/2008,2676.57601,6397.4
01/03/2008,2698.52399,6370.1
02/03/2008,2726.57197,6342.8
03/03/2008,2755.91994,6315.6
04/03/2008,2782.36792,6342.8
05/03/2008,2804.6159,6315.6
06/03/2008,2824.76388,6342.8
07/03/2008,2852.71185,6452.4
08/03/2008,2914.85983,6452.4
09/03/2008,3042.60781,6424.9
10/03/2008,3169.55579,6370.1
11/03/2008,3220.80376,6315.6
12/03/2008,3238.45174,6288.5
13/03/2008,3252.09972,6288.5
14/03/2008,3265.1477,6288.5
15/03/2008,3277.99567,6288.5
16/03/2008,3296.34365,6288.5
17/03/2008,3350.58719,6315.6
18/03/2008,3494.27411,6342.8
19/03/2008,3823.56103,6397.4
20/03/2008,4436.84795,6452.4
21/03/2008,5242.13487,6563.5
22/03/2008,5987.52179,6876.2
23/03/2008,6513.00871,7229.9
24/03/2008,6918.19563,7690.8
25/03/2008,7325.98255,7881.1
26/03/2008,7629.16947,7881.1
27/03/2008,7749.35638,7849.1
28/03/2008,7632.0433,7849.1
29/03/2008,7622.23022,7945.3
30/03/2008,7773.11714,8206.1
31/03/2008,8070.40406,8305.5
01/04/2008,8656.29098,8338.8
02/04/2008,9661.4779,8507
03/04/2008,11129.36482,8746.6
04/04/2008,12690.15174,8816
05/04/2008,13640.63866,9495.6
06/04/2008,13789.42558,10408.8
07/04/2008,13406.1125,10527.4
08/04/2008,12846.19942,10487.8
09/04/2008,12381.38634,10252.3
10/04/2008,12006.32449,9906.4
11/04/2008,11723.69116,9718.1
12/04/2008,11350.15782,9532.4
13/04/2008,10786.22449,9349.4
14/04/2008,10090.89116,9276.9
15/04/2008,9421.55782,9026.5
16/04/2008,8908.42449,8885.7
17/04/2008,8658.39116,8885.7
18/04/2008,8635.25782,8781.2
19/04/2008,8612.92449,8991.2
20/04/2008,8675.29116,9133.2
21/04/2008,8815.05782,9349.4
22/04/2008,9199.22449,9643.5
23/04/2008,9854.3631,9868.6
24/04/2008,10607.84986,10020.7
25/04/2008,11233.93661,10487.8
26/04/2008,11551.12337,11899
27/04/2008,11544.61013,12162
28/04/2008,11310.89689,11986.2
29/04/2008,11007.58365,11855.6
30/04/2008,10817.57041,11855.6
01/05/2008,11109.35717,11942.6
02/05/2008,12377.44393,11986.2
03/05/2008,14574.43069,12384.4
04/05/2008,16841.31744,14829.6
05/05/2008,18311.1042,16260.6
06/05/2008,18855.59096,16481
07/05/2008,18915.17772,16425.7
08/05/2008,18983.86448,15191.3
09/05/2008,19053.55124,14778.5
10/05/2008,18999.738,14374.1
11/05/2008,18668.72476,14274.3
12/05/2008,18155.81151,14076.3
13/05/2008,17666.59827,13734.6
14/05/2008,17056.18503,13542.2
15/05/2008,16291.47179,13494.4
16/05/2008,15577.15855,13399.2
17/05/2008,15001.39527,13304.5
18/05/2008,14804.45611,13257.3
19/05/2008,14838.71694,12930.6
20/05/2008,14964.67777,12930.6
21/05/2008,15168.63861,12930.6
22/05/2008,15515.59944,13210.2
23/05/2008,16218.76027,13399.2
24/05/2008,17437.4211,13686.3
25/05/2008,19109.88194,14474.4
26/05/2008,21191.34277,15035.5
27/05/2008,22780.9036,16151.2
28/05/2008,23429.86444,16205.9
29/05/2008,23875.52527,16042.4
30/05/2008,24565.2861,15295.8
31/05/2008,25492.14693,15453.5
01/06/2008,26537.60777,15826.4
02/06/2008,27588.55714,16481
03/06/2008,28789.81921,17384.9
04/06/2008,29866.78128,18931.6
05/06/2008,30492.44335,19742.2
06/06/2008,30741.00542,21239.2
07/06/2008,30685.26749,21373.2
08/06/2008,30381.92956,21306.1
09/06/2008,30410.89163,20383.1
10/06/2008,30389.45369,20060.8
11/06/2008,30099.01576,19615.9
12/06/2008,29937.07783,19996.8
13/06/2008,29959.6399,20775
14/06/2008,30390.90197,21507.9
15/06/2008,31803.96404,23031.2
16/06/2008,34638.12373,25617.9
17/06/2008,37987.65906,28248.9
18/06/2008,40775.59438,30110.9
19/06/2008,42803.42971,30986.8
20/06/2008,44054.26504,32244.7
21/06/2008,44939.10037,32519.1
22/06/2008,45894.03569,33259.3
23/06/2008,46559.67102,31791.2
24/06/2008,47304.70635,31611.1
25/06/2008,48211.64168,31881.5
26/06/2008,48821.277,32244.7
27/06/2008,48705.51233,32427.5
28/06/2008,47647.24766,32980.3
29/06/2008,46560.68299,33166.1
30/06/2008,46284.71832,33540.1
01/07/2008,47265.55364,33073.1
02/07/2008,48932.08897,34873.8
03/07/2008,50514.3243,34202.1
04/07/2008,51197.48088,34202.1
05/07/2008,50561.79716,34680.9
06/07/2008,48913.11344,34393.1
07/07/2008,47062.92972,34777.3
08/07/2008,45696.846,37519.3
09/07/2008,45359.36228,39278.1
10/07/2008,45816.97856,41727.6
11/07/2008,46279.09484,42200.5
12/07/2008,46531.11112,38684.5
13/07/2008,46435.6274,36664.4
14/07/2008,45989.14368,34393.1
15/07/2008,45176.35996,35067.5
16/07/2008,44021.67624,35164.7
17/07/2008,43280.29252,38098.3
18/07/2008,42953.1088,40641
19/07/2008,42908.22508,41727.6
20/07/2008,42790.54136,42042.4
21/07/2008,42681.65764,43321
