Date,First-pass,Second-pass,Third-pass
19400101,126.5,126.5,126.5
19400102,140.225,127.0146875,127.0146875
19400103,151.345625,128.422484375,128.422484375
19400104,158.144703125,130.396685352,130.396685352
19400105,176.471350391,133.165035957,133.165035957
19400106,203.135999111,137.412933867,137.412933867
19400107,227.800799178,143.267093762,143.267093762
19400108,250.61573924,150.462681921,150.462681921
19400109,277.757058797,158.991960703,158.991960703
19400110,297.575279387,168.642526332,168.642526332
19400111,304.582133433,178.575239838,178.575239838
19400112,322.388473425,188.693494607,188.693494607
19400113,344.146837919,199.536556687,199.536556687
19400114,364.273325075,211.137071048,211.137071048
19400115,420.315325694,224.723865123,224.723865123
19400116,482.391676267,241.038302209,241.038302209
19400117,518.662300547,257.663731911,257.663731911
19400118,459.0,272.847852127,272.847852127
19400119,514.9125,288.905981968,288.905981968
19400120,641.6690625,310.609841914,310.609841914
19400121,729.668882812,336.968629747,336.968629747
19400122,766.818716602,362.679811023,362.679811023
19400123,780.0,385.969829521,385.969829521
19400124,783.4125,406.878569795,406.878569795
19400125,797.0690625,425.482002965,425.482002965
19400126,816.788882812,441.816567308,441.816567308
19400127,827.942216602,455.883917971,455.883917971
19400128,834.734050356,467.695382613,467.695382613
19400129,841.01649658,477.275629762,477.275629762
19400130,693.0,484.878515304,484.878515304
19400131,693.0,490.990772143,490.990772143
19400201,610.0,496.000776921,496.000776921
19400202,616.375,500.181669025,500.181669025
19400203,628.646875,503.647015218,503.647015218
19400204,639.998359375,506.353626371,506.353626371
19400205,532.0,508.428977086,508.428977086
19400206,539.9875,510.496335055,510.496335055
19400207,590.0509375,514.585551332,514.585551332
19400208,656.797117187,522.748437033,522.748437033
19400209,735.787333398,535.764221152,535.764221152
19400210,896.978283394,556.810615196,556.810615196
19400211,1125.57991214,590.895751388,590.895751388
19400212,1364.03641873,639.939182442,639.939182442
19400213,1678.73368732,706.047622736,706.047622736
19400214,2156.95366077,796.932326584,796.932326584
19400215,2709.93213622,919.670619477,919.670619477
19400216,3159.562226,1070.8013616,1070.8013616
19400217,3404.47005905,1236.64247017,1236.64247017
19400218,3513.25980462,1403.30915479,1403.30915479
19400219,3661.89031927,1567.12909783,1567.12909783
19400220,3964.37354533,1735.57931042,1735.57931042
19400221,4411.79552943,1918.14321653,1918.14321653
19400222,4913.41086472,2101.54517303,2101.54517303
19400223,5392.40504987,2267.88233654,2267.88233654
19400224,5768.72467113,2415.37511717,2415.37511717
19400225,5966.82032079,2542.74685588,2542.74685588
19400226,5390.0,2650.47460793,2650.47460793
19400227,4210.0,2742.46008008,2742.46008008
19400228,3840.0,2824.28990408,2824.28990408
19400229,3840.0,2899.38061262,2899.38061262
19400301,3856.875,2968.72568384,2968.72568384
19400302,3925.359375,3032.59138686,3032.59138686
19400303,4108.33242188,3090.85404163,3090.85404163
19400304,4430.95749023,3142.71701906,3142.71701906
19400305,4850.13567847,3186.59931489,3186.59931489
19400306,5300.12550258,3220.3186692,3220.3186692
19400307,5720.11608989,3241.43615647,3241.43615647
19400308,6063.23238315,3223.53151545,3223.53151545
19400309,6301.48995441,2983.62640842,2983.62640842
19400310,6414.62820783,2710.02375928,2710.02375928
19400311,5100.0,2462.94616377,2462.94616377
19400312,4000.0,2293.72558246,2293.72558246
19400313,3310.0,2183.35198104,2183.35198104
19400314,2940.0,2107.00214166,2107.00214166
19400315,2947.5,2039.15772071,2039.15772071
19400316,2973.1875,1964.46696158,1964.46696158
19400317,3008.1984375,1881.25944749,1881.25944749
19400318,3025.58355469,1789.18121382,1789.18121382
19400319,2840.0,1696.45603299,1696.45603299
19400320,2650.0,1611.43895459,1611.43895459
19400321,2460.0,1534.93400496,1534.93400496
19400322,2250.0,1468.44216752,1468.44216752
19400323,2060.0,1412.77531624,1412.77531624
19400324,1880.0,1367.59493647,1367.59493647
19400325,1800.0,1329.29182322,1329.29182322
19400326,1620.0,1298.42359267,1298.42359267
19400327,1500.0,1277.21469477,1277.21469477
19400328,1430.0,1261.98885921,1261.98885921
19400329,1430.0,1248.36633429,1248.36633429
19400330,1360.0,1236.47711815,1236.47711815
19400331,1280.0,1229.70499259,1229.70499259
19400401,1284.125,1225.45978929,1225.45978929
19400402,1290.940625,1220.42684146,1220.42684146
19400403,1297.62007812,1214.43871902,1214.43871902
19400404,1306.42357227,1207.33738609,1207.33738609
19400405,1314.19180435,1198.98844266,1198.98844266
19400406,1250.0,1192.25,1192.25
19400407,1190.0,1190.0,1190.0
19400408,1202.75,1190.478125,1190.478125
19400409,1255.41875,1193.37359375,1193.37359375
19400410,1368.26234375,1202.25861523,1202.25861523
19400411,1523.64266797,1220.53565703,1220.53565703
19400412,1783.61946787,1253.01781285,1253.01781285
19400413,2245.34800778,1310.12775722,1310.12775722
